NJ.PA,EmploymentPost,EmploymentPre,WagePre,BurgerKing,KFC,Roys,Wendys
0,18,30,5,0,0,0,1
0,29.5,19,5.5,0,0,0,1
0,24,67.5,5,1,0,0,0
0,30.5,18.5,5,1,0,0,0
0,9,6,5.25,0,1,0,0
0,6.5,7,5,0,1,0,0
0,13.5,12.5,5,0,0,1,0
0,25,55,5,1,0,0,0
0,26.5,21.5,5,1,0,0,0
0,23,25.5,5.5,1,0,0,0
0,15,10.5,5,1,0,0,0
0,17,13.75,5.25,0,1,0,0
0,10.5,8.5,5,0,1,0,0
0,16,13,5,0,0,1,0
0,12.5,26.5,5,0,0,1,0
0,11.5,16.5,5,0,0,1,0
0,11,16.25,5,0,0,1,0
0,15,33,5,0,0,1,0
0,18,18,5,0,0,1,0
0,15,17.5,5,0,0,1,0
0,15.5,14,5,0,0,0,1
0,10.5,11,5,0,0,1,0
0,14.5,15,5,0,0,1,0
0,18.5,25.5,4.25,1,0,0,0
0,12.5,17,4.25,1,0,0,0
0,19.5,20,4.25,1,0,0,0
0,21,13.5,4.25,1,0,0,0
0,11,19,4.5,1,0,0,0
0,17,12,4.25,1,0,0,0
0,22.5,32.5,4.5,1,0,0,0
0,20,16,4.25,1,0,0,0
0,14,11,4.5,0,1,0,0
0,13.5,7.5,4.25,0,1,0,0
0,16,35,4.67,0,0,0,1
0,14,20.5,4.75,0,0,0,1
0,8,7.5,4.25,0,0,0,1
0,20,20,4.25,0,0,0,1
0,8,8,4.75,0,1,0,0
0,24,32.5,4.25,1,0,0,0
0,30,47.5,4.5,1,0,0,0
0,21,25,4.25,1,0,0,0
0,33.5,40,4.25,1,0,0,0
0,16,19.75,4.25,1,0,0,0
0,6.5,4.5,4.25,0,1,0,0
0,15,12.5,4.25,0,0,0,1
0,15,35,4.25,0,0,0,1
0,15,13.5,4.25,0,0,0,1
0,27.5,22,4.25,0,0,0,1
0,21.5,17,4.75,1,0,0,0
0,22.5,12.5,4.87,1,0,0,0
0,31.5,12.5,4.75,1,0,0,0
0,9,5.5,4.5,0,1,0,0
0,10,15,4.25,0,0,1,0
0,20,16.75,4.75,0,0,0,1
0,23.5,35,4.25,1,0,0,0
0,20.5,38.5,4.25,1,0,0,0
0,33.5,18.5,4.75,1,0,0,0
0,18,29,4.5,1,0,0,0
0,20,21,4.25,1,0,0,0
0,16,22,4.25,1,0,0,0
0,23,44.5,4.5,1,0,0,0
0,10,5.5,4.5,0,1,0,0
0,0,16.5,4.5,0,0,1,0
0,11.5,10,4.5,0,0,1,0
0,23.75,25,4.75,0,0,0,1
0,37.5,21.5,4.25,1,0,0,0
0,38.25,14.5,4.75,1,0,0,0
0,11.25,19.5,4.25,0,0,1,0
0,9.5,12,4.75,0,0,1,0
0,31,15,4.5,0,0,1,0
0,8,17.25,4.75,0,0,1,0
0,6,12.5,4.25,1,0,0,0
0,14.5,17,4.35,1,0,0,0
1,6,3,5,0,0,1,0
1,12.5,14,5.12,0,1,0,0
1,20,37.5,5.56,1,0,0,0
1,3.5,9,5,0,1,0,0
1,5.5,8,5,0,1,0,0
1,13.5,12,5.25,0,1,0,0
1,11.5,22,5,0,0,1,0
1,27.5,14,5.5,0,0,0,1
1,34,31,5,0,0,1,0
1,16,18,5,0,0,1,0
1,22.5,31.5,5,0,0,0,1
1,29,15.25,5,0,0,0,1
1,17.5,17,5.5,1,0,0,0
1,18.5,13,5,1,0,0,0
1,12,12.5,5,0,1,0,0
1,17.5,17,5,0,0,0,1
1,11,10.25,5,0,1,0,0
1,16,30,5.25,0,0,1,0
1,19,27.5,5.5,0,0,1,0
1,22.5,25,5.05,0,0,0,1
1,14,13.5,5,1,0,0,0
1,6,11.75,5.12,1,0,0,0
1,22.5,19.5,5.25,1,0,0,0
1,0,7,5,1,0,0,0
1,18.75,42.5,5.12,1,0,0,0
1,16,12.5,5,0,1,0,0
1,32,20.5,5,0,0,1,0
1,18,21,5,0,0,1,0
1,12.5,19,5,0,0,1,0
1,18.5,25,5,0,0,0,1
1,23,28.5,5,1,0,0,0
1,30,20,5,1,0,0,0
1,13.75,14,5.62,0,0,1,0
1,22,26,5,0,0,1,0
1,15,17.5,5,0,0,0,1
1,15.5,28,5,1,0,0,0
1,12,5,5,1,0,0,0
1,22.5,32.5,5.1,0,0,1,0
1,17,30,5.25,0,0,1,0
1,14,19,5.5,0,0,1,0
1,22.5,19,5,1,0,0,0
1,21.25,19,5,1,0,0,0
1,7.5,6.5,5,0,1,0,0
1,9,9.5,5.05,0,1,0,0
1,6.5,7.5,5.5,0,1,0,0
1,12.5,10,5,0,1,0,0
1,8.5,13,5.3,1,0,0,0
1,12,7,5,0,1,0,0
1,5.5,14,5,0,1,0,0
1,7,9.5,5,0,1,0,0
1,9.5,10,5,0,1,0,0
1,41.5,43,5.25,0,0,1,0
1,22.5,40.5,5.15,0,0,1,0
1,13,12,5.42,0,0,0,1
1,10,15,5,1,0,0,0
1,10,16,5,0,0,1,0
1,12.5,17.5,5.06,0,0,0,1
1,14,16.5,5.05,0,0,0,1
1,24,14.5,5,0,0,0,1
1,22,23.5,5,1,0,0,0
1,25.5,20,5,1,0,0,0
1,12.5,30,5.25,1,0,0,0
1,27.5,14,5,1,0,0,0
1,22.5,20,5,1,0,0,0
1,22.5,28.5,5.05,0,0,1,0
1,28,29.5,5,0,0,0,1
1,11.5,10,5.75,0,0,0,1
1,7.5,33,5,1,0,0,0
1,40,31,4.5,1,0,0,0
1,12.5,13,4.75,1,0,0,0
1,7.5,12.5,4.25,0,1,0,0
1,20,16,4.75,0,0,1,0
1,25,20,4.5,0,0,1,0
1,16,32,4.37,1,0,0,0
1,22.5,25,4.25,1,0,0,0
1,24,25,4.25,1,0,0,0
1,22.5,18.25,4.37,1,0,0,0
1,7.5,12.5,4.5,0,1,0,0
1,15,15.5,4.6,0,0,1,0
1,15.5,17,4.5,0,0,1,0
1,21.5,10,4.37,0,0,1,0
1,27,27.5,4.25,0,0,1,0
1,28,19.5,4.25,1,0,0,0
1,5.5,11,4.45,0,1,0,0
1,10.5,10.5,4.35,0,0,1,0
1,21,12.5,4.5,1,0,0,0
1,25,22.5,4.75,1,0,0,0
1,7,7,4.5,0,1,0,0
1,6.5,3.5,4.5,0,1,0,0
1,14.5,20.25,4.5,0,0,1,0
1,14.5,12.5,4.95,0,0,1,0
1,22,28.25,4.5,0,0,0,1
1,20,25,4.25,1,0,0,0
1,20,29,4.25,1,0,0,0
1,19.5,27.5,4.5,1,0,0,0
1,31,24,4.25,1,0,0,0
1,12.75,12.5,4.5,1,0,0,0
1,21.5,35,4.25,1,0,0,0
1,13.5,13.5,4.25,1,0,0,0
1,25,45,4.5,1,0,0,0
1,36,17.5,4.75,1,0,0,0
1,14,3.5,4.25,0,1,0,0
1,9.5,10.5,4.25,0,1,0,0
1,32.5,24,4.25,0,0,1,0
1,17,18.5,4.5,0,0,1,0
1,18,14.5,4.25,0,0,0,1
1,27,19,4.5,1,0,0,0
1,15,16.5,4.25,1,0,0,0
1,15,7.5,4.5,1,0,0,0
1,22.5,20.5,4.25,1,0,0,0
1,15,19,4.25,1,0,0,0
1,17,13,4.25,1,0,0,0
1,17.5,17.5,4.25,1,0,0,0
1,7,19.5,4.25,0,1,0,0
1,7.5,7.5,4.25,0,1,0,0
1,8,6,4.25,0,1,0,0
1,9.5,10,4.25,0,1,0,0
1,55,80,4.75,0,0,1,0
1,16,12,4.75,0,0,1,0
1,13.5,18.5,4.4,0,0,1,0
1,16,50,4.62,0,0,0,1
1,22.5,20,4.25,1,0,0,0
1,14.5,17.5,4.25,1,0,0,0
1,18.5,11.5,4.25,1,0,0,0
1,23,21,4.25,1,0,0,0
1,27.25,24,4.25,0,0,1,0
1,40,17.5,4.75,1,0,0,0
1,13.5,32.5,4.75,1,0,0,0
1,28,15.25,4.25,1,0,0,0
1,28,17.5,4.25,1,0,0,0
1,24.5,21.5,4.75,1,0,0,0
1,15,16,4.5,1,0,0,0
1,35,20,4.25,1,0,0,0
1,24,13,4.25,1,0,0,0
1,7.5,15,4.5,0,1,0,0
1,21,19.75,4.5,0,0,1,0
1,25,30,4.5,0,0,1,0
1,13,14,4.75,0,0,1,0
1,19.75,18,4.62,0,0,1,0
1,27,27.5,4.25,0,0,1,0
1,22.5,20,4.5,0,0,0,1
1,22.5,17.5,4.75,0,0,0,1
1,55.5,32.5,4.25,0,0,0,1
1,16,18,4.8,1,0,0,0
1,13,10,4.5,1,0,0,0
1,22,13.75,4.67,1,0,0,0
1,11,15.5,4.87,1,0,0,0
1,5,5.5,4.5,0,1,0,0
1,12.5,12,4.5,0,1,0,0
1,18,20,4.75,0,0,1,0
1,17.5,24,4.75,0,0,0,1
1,16,15,4.25,1,0,0,0
1,16.25,18,4.25,1,0,0,0
1,18.5,12,4.75,1,0,0,0
1,26,26,4.85,1,0,0,0
1,30,21,4.75,1,0,0,0
1,33.75,25.5,4.62,1,0,0,0
1,6,19,4.25,0,1,0,0
1,7,8,4.25,0,1,0,0
1,8.75,9.5,4.5,0,1,0,0
1,7.5,10.5,4.5,0,1,0,0
1,20,14,4.62,0,1,0,0
1,5,6.5,4.5,0,1,0,0
1,21,20,4.75,0,0,1,0
1,9.5,11.5,4.75,0,0,1,0
1,19.5,25,4.87,0,0,0,1
1,8.5,7.5,4.5,0,0,0,1
1,20.5,15,4.25,0,0,0,1
1,12.5,6,4.35,0,1,0,0
1,25,30,4.25,1,0,0,0
1,27,16.5,4.5,1,0,0,0
1,18.5,37,4.25,1,0,0,0
1,21,15,4.25,1,0,0,0
1,18.75,14.25,4.25,1,0,0,0
1,11.5,13,4.75,0,1,0,0
1,21,28,4.62,0,0,1,0
1,24.5,22,4.25,0,0,1,0
1,7,9.5,4.5,0,0,0,1
1,19.5,17,4.5,1,0,0,0
1,27.5,19.75,4.5,1,0,0,0
1,20.75,14.5,4.55,1,0,0,0
1,17.5,17,4.62,1,0,0,0
1,25,15,4.5,1,0,0,0
1,11,7.5,4.25,0,1,0,0
1,6,8.5,4.25,0,1,0,0
1,6.5,9,4.35,0,1,0,0
1,13.5,7.5,4.25,0,1,0,0
1,9,10.5,4.25,0,1,0,0
1,8.5,15,4.6,0,1,0,0
1,9.5,14,4.25,0,0,1,0
1,13,12,4.75,0,0,1,0
1,24.5,16.5,4.75,0,0,1,0
1,13,11,4.25,0,0,0,1
1,20.5,17.25,4.5,0,0,0,1
1,27.5,23,4.5,1,0,0,0
1,23.5,12.5,4.25,1,0,0,0
1,23,21,4.75,1,0,0,0
1,18.5,22.5,4.65,1,0,0,0
1,17.5,17.5,4.25,1,0,0,0
1,32.5,11,4.75,0,1,0,0
1,9.5,17,4.25,0,1,0,0
1,18,19.5,4.5,0,0,1,0
1,22,27,4.25,0,0,1,0
1,20,20,4.5,0,0,0,1
1,17,16,4.75,0,0,0,1
1,16,9,4.37,1,0,0,0
1,4,3,4.5,0,1,0,0
1,8,10.5,4.87,0,0,1,0
1,29,15,4.25,1,0,0,0
1,17,20,4.25,1,0,0,0
1,11.25,13.5,4.25,1,0,0,0
1,11.5,5,4.25,1,0,0,0
1,0,10,4.25,1,0,0,0
1,42.5,16.5,4.25,1,0,0,0
1,11.5,7,4.45,0,1,0,0
1,7.5,9,4.62,0,1,0,0
1,5,6,4.25,0,1,0,0
1,8,9.5,4.25,0,1,0,0
1,4.5,5,4.25,0,1,0,0
1,0,9,4.25,0,0,1,0
1,12,16.5,4.5,0,0,1,0
1,10.5,15.5,4.75,0,0,1,0
1,9.5,8.5,4.75,0,0,1,0
1,9.5,12,4.5,0,0,1,0
1,9.5,10,4.75,0,0,1,0
1,8,8,4.25,0,0,1,0
1,11.5,14,4.75,0,0,0,1
1,13,14,4.55,0,0,0,1
1,20.5,17.5,4.8,0,0,0,1
1,30,16.5,4.25,1,0,0,0
1,29.5,27.5,4.35,0,0,1,0
1,17.5,20,4.5,0,0,1,0
1,16,10,4.39,0,0,1,0
1,37.5,26.25,4.25,0,0,1,0
1,14.5,14,4.25,0,0,0,1
1,4,7,4.25,1,0,0,0
1,15,15.5,4.5,1,0,0,0
1,18,14,4.62,1,0,0,0
1,19,22.5,4.62,1,0,0,0
1,4,4,4.25,1,0,0,0
1,10,8.5,4.75,0,1,0,0
1,24,5.5,4.62,0,1,0,0
1,14.5,14.5,4.75,0,0,1,0
1,8.5,11.5,4.5,0,0,1,0
1,13,10.25,4.25,1,0,0,0
1,20,34,4.5,1,0,0,0
1,27.5,19.75,4.87,1,0,0,0
1,9.5,21,4.25,1,0,0,0
1,23.5,21,4.25,1,0,0,0
1,6.5,5.5,4.62,0,1,0,0
1,9.5,13,4.75,0,1,0,0
1,9,7.25,4.25,0,1,0,0
1,0,8.25,4.25,0,0,1,0
1,15,12.5,4.75,0,0,1,0
1,20,15.75,4.25,0,0,1,0
1,11.5,10.5,4.87,0,0,0,1
1,13,11,4.25,1,0,0,0
1,21,15.5,4.25,1,0,0,0
1,15.5,12.5,4.25,1,0,0,0
1,26,12.5,4.25,0,1,0,0
1,17.5,12.5,4.25,0,1,0,0
1,16,13.5,4.25,0,1,0,0
1,10.5,10.5,4.5,0,0,1,0
1,12.5,10,4.25,0,0,0,1
1,0,7.5,4.35,1,0,0,0
1,28.5,25.75,4.85,1,0,0,0
1,8.5,9,4.5,1,0,0,0
1,17,15,4.25,1,0,0,0
1,31,26,4.62,1,0,0,0
1,22,17.5,4.5,1,0,0,0
1,8,8,4.5,1,0,0,0
1,22,23,4.25,1,0,0,0
1,19,9.5,4.25,1,0,0,0
1,15.5,17.5,4.25,0,1,0,0
1,20,9,4.62,0,1,0,0
1,23,32,4.87,0,0,1,0
1,13.5,18,4.25,0,0,1,0
1,32.5,20.5,4.75,0,0,1,0
1,27,17,4.87,0,0,1,0
1,20,23.5,4.5,0,0,1,0
1,18.5,11,4.25,0,0,1,0
1,19.5,16,4.75,0,0,1,0
1,9,14.5,4.32,0,0,1,0
1,17.5,17.5,4.25,1,0,0,0
1,22,18,4.5,1,0,0,0
1,6.5,8.5,4.5,0,1,0,0
1,10,18,4.25,1,0,0,0
1,17.5,18,4.25,1,0,0,0
1,19,24,4.25,1,0,0,0
1,21.5,18,4.25,1,0,0,0
1,17.5,37.5,4.25,1,0,0,0
1,7.5,8,4.25,0,1,0,0
1,28.5,25,4.62,0,1,0,0
1,10,3.5,4.75,0,1,0,0
1,20.75,7,4.95,0,1,0,0
1,13.5,6.75,4.75,0,1,0,0
1,17.5,19.5,4.25,0,0,1,0
1,17.5,11,4.75,0,0,0,1
1,22,16.5,4.62,0,0,0,1
